device,model,task,task_label,engine,num_requests,dataset,qps,avg_latency
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,20,D1,0.2,1479.574812
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,20,D1,0.5,1728.629497
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,20,D1,1,1856.157457
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,30,D2,0.05,1527.754952
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,30,D2,0.1,1595.254718
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,30,D2,0.2,1800.057323
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,30,D2,0.5,2059.521324
h20-72b,Qwen2.5-72B,code,CodeWriter,SunCake,30,D2,1,2110.812309
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,20,D1,0.05,603.123501
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,20,D1,0.1,564.632921
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,20,D1,0.2,653.657388
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,20,D1,0.5,744.674001
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,20,D1,1,769.037949
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,30,D2,0.05,674.763362
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,30,D2,0.1,718.682454
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,30,D2,0.2,787.005084
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,30,D2,0.5,908.45607
h20-72b,Qwen2.5-72B,research,DeepResearch,SunCake,30,D2,1,971.851775
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,20,D1,0.05,1868.726406
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,20,D1,0.1,1941.619232
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,20,D1,0.2,1994.180493
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,20,D1,0.5,2042.100136
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,20,D1,1,2065.533983
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,30,D2,0.05,2267.718051
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,30,D2,0.1,2555.1587
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,30,D2,0.2,2558.585278
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,30,D2,0.5,2619.891175
h20-72b,Qwen2.5-72B,code,CodeWriter,MoonCake,30,D2,1,2701.808921
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,20,D1,0.05,822.281829
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,20,D1,0.1,893.206816
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,20,D1,0.2,888.29794
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,20,D1,0.5,972.634807
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,20,D1,1,1007.326058
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,30,D2,0.05,921.8309
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,30,D2,0.1,980.049485
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,30,D2,0.2,1110.856702
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,30,D2,0.5,1195.2617
h20-72b,Qwen2.5-72B,research,DeepResearch,MoonCake,30,D2,1,1205.647715
